"address","borough","zipcode","lon","lat","risk1"
"- 302 BEVERLY ROAD","BK",11226,-73.9483,40.645,0
"-19 A/B 74 STREET","QN",11373,-73.8899,40.7403,0
"1 1/2 5 AVENUE","MN",10003,-73.9963,40.7314,0
"1 74 STREET","BK",11209,-74.0361,40.6346,0
"1 ADRIAN AVENUE","MN",10463,-73.9127,40.876,0
"1 ALDEN PARK","BX",10465,-73.8068,40.822,0
"1 ASCAN AVENUE","QN",11375,-73.8414,40.7175,0
"1 AUDUBON AVENUE","MN",10032,-73.9392,40.8388,0
"1 BOGARDUS PLACE","MN",10040,-73.9292,40.8589,0
"1 BROADWAY TERRACE","MN",10040,-73.9317,40.857,0
"1 CABRINI BOULEVARD","MN",10033,-73.941,40.8483,0
"1 CAMBRIDGE PLACE","BK",11238,-73.9632,40.6869,0
"1 CHRISTOPHER STREET","MN",10014,-74,40.7342,0
"1 COENTIES SLIP","MN",10004,-74.0108,40.7034,0
"1 CONVENT AVENUE","MN",10027,-73.9529,40.8129,0
"1 DELANCEY STREET","MN",10002,-73.9937,40.72,0
"1 EAST 124 STREET","MN",10035,-73.9422,40.8057,0
"1 EAST 198 STREET","BX",10468,-73.8925,40.8714,0
"1 EAST 213 STREET","BX",10467,-73.8789,40.8852,0
"1 EAST 35 STREET","MN",10016,-73.9834,40.7491,0
"1 EAST 93 STREET","MN",10128,-73.9565,40.7859,0
"1 ELTON STREET","BK",11208,-73.8854,40.6836,0
"1 JACOBUS PLACE","MN",10463,-73.9122,40.8754,0
"1 KING STREET","MN",10012,-74.0027,40.7278,0
"1 MARBLE HILL AVENUE","MN",10463,-73.9111,40.875,0
"1 MONROE PLACE","BK",11201,-73.9924,40.6972,0
"1 MORNINGSIDE DRIVE","MN",10025,-73.9617,40.8024,0
"1 NORTH 4 PLACE","BK",11249,-73.9649,40.7197,0
"1 OLD FULTON STREET","BK",11201,-73.994,40.7031,1
"1 PARADE PLACE","BK",11226,-73.9658,40.6531,0
"1 PENNYFIELD AVENUE","BX",10465,-73.8019,40.8097,0
"1 PROSPECT PARK SW","BK",11215,-73.9796,40.6604,0
"1 RIDGEWOOD PLACE","BK",11237,-73.9115,40.6989,0
"1 RIVER PLACE","MN",10036,-74.0005,40.7613,0
"1 SEAMAN AVENUE","MN",10034,-73.9275,40.8662,0
"1 SHERIDAN SQUARE","MN",10014,-74.0018,40.7328,0
"1 SHERMAN AVENUE","MN",10040,-73.9292,40.862,0
"1 SICKLES STREET","MN",10040,-73.9267,40.8604,0
"1 SLOSSON TERRACE","SI",10301,-74.0758,40.6398,0
"1 SOUTH OXFORD STREET","BK",11217,-73.9738,40.6895,0
"1 SPENCER COURT","BK",11205,-73.9541,40.6909,0
"1 ST FRANCIS PLACE","BK",11216,-73.9563,40.6721,0
"1 ST NICHOLAS TERRACE","MN",10027,-73.9524,40.8126,0
"1 ST PAULS COURT","BK",11226,-73.9624,40.651,0
"1 STATION SQUARE","QN",11375,-73.8451,40.7188,0
"1 TENNIS COURT","BK",11226,-73.9626,40.6487,0
"1 TUDOR CITY PLACE","MN",10017,-73.9709,40.748,0
"1 UNIVERSITY PLACE","MN",10003,-73.9951,40.7307,0
"1 WADSWORTH AVENUE","MN",10033,-73.9383,40.8447,0
"1 WASHINGTON SQ VLLGE","MN",10012,-73.9972,40.7281,0
"1 WEEHAWKEN STREET","MN",10014,-74.0096,40.7331,0
"1 WEST 64 STREET","MN",10023,-73.9799,40.7715,0
"1 WILLOW PLACE","BK",11201,-73.9976,40.6934,0
"10 5 AVENUE","MN",10011,-73.9966,40.7325,0
"10 ADRIAN AVENUE","MN",10463,-73.9121,40.8759,0
"10 AVENUE P","BK",11204,-73.9879,40.6068,0
"10 CHARLES STREET","MN",10014,-74.0008,40.735,0
"10 CHRISTOPHER STREET","MN",10014,-74.0002,40.7338,0
"10 CLERMONT AVENUE","BK",11205,-73.9721,40.6975,0
"10 COLUMBIA PLACE","BK",11201,-73.9989,40.6934,0
"10 DELANCEY STREET","MN",10002,-73.9932,40.7204,0
"10 EAST 102 STREET","MN",10029,-73.9524,40.7912,0
"10 EAST 102 STREET","MN",10029,NA,NA,0
"10 EAST 116 STREET","MN",10029,-73.9459,40.8001,1
"10 EAST 132 STREET","MN",10037,-73.9384,40.8103,0
"10 EAST 198 STREET","BX",10468,-73.893,40.8711,0
"10 EAST 28 STREET","MN",10016,-73.9866,40.7441,0
"10 EAST 78 STREET","MN",10075,-73.9636,40.7758,0
"10 EAST END AVENUE","MN",10075,-73.9482,40.7711,0
"10 ELDERT STREET","BK",11207,-73.914,40.6854,0
"10 ELIZABETH STREET","MN",10013,-73.9972,40.7157,0
"10 FAIRVIEW AVENUE","MN",10040,-73.929,40.8572,0
"10 FORREST STREET","BK",11206,-73.936,40.7004,0
"10 FT WASHINGTON AVENUE","MN",10032,-73.9444,40.836,0
"10 GOODWIN PLACE","BK",11221,-73.9247,40.6918,0
"10 HAVEMEYER STREET","BK",11211,-73.9532,40.7164,0
"10 HILLSIDE AVENUE","MN",10040,-73.9305,40.8591,0
"10 LIBERTY STREET","MN",10005,-74.0082,40.7074,0
"10 MANHATTAN AVENUE","MN",10025,-73.9637,40.7952,0
"10 MAPLE STREET","BK",11225,-73.9603,40.66,0
"10 MENAHAN STREET","BK",11221,-73.9224,40.6924,0
"10 MIDWOOD STREET","BK",11225,-73.9602,40.6593,0
"10 MONTAGUE TERRACE","BK",11201,-73.9979,40.6952,0
"10 MORTON STREET","MN",10014,-74.0035,40.7311,0
"10 OCEAN PARKWAY","BK",11218,-73.9733,40.6513,0
"10 OVERLOOK TERRACE","MN",10033,-73.9361,40.8531,0
"10 PARK HILL AVENUE","SI",10304,-74.0782,40.6184,0
"10 PARK TERRACE EAST","MN",10034,-73.9175,40.8696,0
"10 PELL STREET","MN",10013,-73.9976,40.7149,0
"10 PLAZA ST EAST","BK",11238,-73.9709,40.6757,0
"10 PROSPECT PARK SW","BK",11215,-73.9791,40.6604,0
"10 PULASKI STREET","BK",11206,-73.9513,40.6919,0
"10 RUTGERS STREET","MN",10002,-73.9905,40.7138,0
